Ação;Empresa;Preço;Margem EBIT;P/VPA;EV/EBIT;Div.Yield;Volume Financ.(R$)
ZAMP3;ZAMP S.A.;4,53;2,11%;0,86;24,04;0,00%;4.560.026
YDUQ3;YDUQS PART;9,61;12,65%;0,98;12,45;1,32%;85.351.838
WLMM4;WLM IND COM;21,9;7,94%;1,32;5,14;4,72%;35.136
WLMM3;WLM IND COM;22,17;7,94%;1,33;5,14;4,24%;376
WIZS3;WIZ S.A.;6,97;41,06%;1,14;3,18;0,00%;10.308.608
WHRL4;WHIRLPOOL;4,96;7,83%;3,04;7,63;0,00%;40.992
WHRL3;WHIRLPOOL;4,52;7,83%;2,77;7,63;0,00%;14.520
WEST3;WESTWING;1,02;-27,71%;0,32;0,23;0,00%;852.976
WEGE3;WEG;37,45;16,27%;11;33,88;1,32%;302.306.531
VVEO3;VIVEO;15,2;6,18%;1,9;12,28;2,67%;4.518.755
VULC3;VULCABRAS;11,46;16,10%;1,75;7,62;3,23%;6.783.209
VSPT4;FER C ATLANT;NA;-12,69%;NA;NA;NA;0
VSPT3;FER C ATLANT;NA;-12,69%;NA;NA;NA;0
VLID3;VALID;8,81;11,64%;0,56;5,2;3,30%;2.580.748
VIVT3;TELEF BRASIL;36,86;13,86%;0,89;11,63;9,22%;115.882.535
VIVR3;VIVER;0,38;-67,87%;-0,42;-4,73;0,00%;3.423.130
VIVA3;VIVARA S.A.;19,35;18,78%;2,88;13,99;0,00%;31.106.159
VITT3;VITTIA;12,06;20,66%;2,58;10,36;1,08%;2.385.816
VIIA3;VIA;1,91;4,10%;0,55;9;0,00%;211.834.276
VBBR3;VIBRA;14,25;1,99%;1,31;8,49;3,27%;174.397.734
VAMO3;VAMOS;11,49;31,92%;3,22;11,65;0,00%;53.560.545
VALE3;VALE;85,68;36,28%;2,18;5,2;8,51%;2.749.101.243
USIM6;USIMINAS;14,51;18,02%;0,67;1,7;5,67%;194
USIM5;USIMINAS;7,35;18,02%;0,34;1,7;8,56%;148.248.782
USIM3;USIMINAS;7,23;18,02%;0,34;1,7;7,91%;3.171.028
UPKP3B;UPTICK;NA;NA;NA;NA;NA;0
UNIP6;UNIPAR;87,96;41,33%;3,2;2,67;20,95%;19.534.312
UNIP5;UNIPAR;91,96;41,33%;3,34;2,67;20,04%;35.997
UNIP3;UNIPAR;80,07;41,33%;2,91;2,67;20,92%;1.705.808
UGPA3;ULTRAPAR;11,79;1,84%;1,16;8,18;4,94%;100.141.875
UCAS3;UNICASA;2,38;12,82%;0,8;4,13;4,53%;107.489
TXRX4;TEX RENAUX;3,16;15,99%;-0,04;10,7;0,00%;4.574
TXRX3;TEX RENAUX;16,21;15,99%;-0,21;10,7;0,00%;138
TUPY3;TUPY;26,05;8,02%;1,21;6,85;1,45%;23.245.716
TTEN3;3TENTOS;8,36;5,89%;1,6;10,85;0,18%;15.400.384
TRPL4;TRAN PAULIST;21,72;71,11%;0,86;5,64;0,80%;42.716.640
TRPL3;TRAN PAULIST;28;71,11%;1,11;5,64;0,62%;62.928
TRIS3;TRISUL;3,23;13,91%;0,46;10,44;6,80%;4.398.588
TRAD3;TC;1,96;-82,86%;0,96;-4,32;0,01%;2.906.721
TPIS3;TRIUNFO PART;1,01;22,76%;0,19;6,98;1,85%;1.334.856
TOTS3;TOTVS;25,43;15,46%;3,33;24,68;0,90%;147.370.377
TKNO4;TEKNO;65;17,23%;0,72;2,71;14,76%;1.002
TKNO3;TEKNO;NA;17,23%;NA;2,71;NA;0
TIMS3;TIM;12,28;19,18%;1,18;7,83;5,06%;114.838.101
TGMA3;TEGMA;19,6;13,78%;1,75;7,36;5,72%;5.776.922
TFCO4;TRACK FIELD;9,4;23,00%;28,06;5,8;1,35%;2.584.627
TEND3;TENDA;3,8;-20,31%;0,47;-2,57;0,00%;20.613.571
TELB4;TELEBRAS;7,05;-17,16%;0,29;1,71;0,00%;38.073
TELB3;TELEBRAS;14,75;-17,16%;0,6;1,71;0,00%;31.621
TEKA4;TEKA;27;6,80%;-0,01;35,15;0,00%;56.877
TEKA3;TEKA;8,23;6,80%;0;35,15;0,00%;0
TEGA3;TEGRA INCORP;NA;11,38%;NA;NA;NA;0
TECN3;TECHNOS;2,18;16,71%;0,47;3,32;3,72%;964.189
TCSA3;TECNISA;2,48;-24,28%;0,27;-14,06;0,00%;789.950
TCNO4;TECNOSOLO;0,85;NA;-5,95;-34,51;0,00%;5.136
TCNO3;TECNOSOLO;1,2;NA;-8,4;-34,51;0,00%;3.013
TASA4;TAURUS ARMAS;12,86;32,76%;1,5;2,04;12,63%;12.220.604
TASA3;TAURUS ARMAS;12,35;32,76%;1,44;2,04;13,15%;524.719
TAEE4;TAESA;11,2;102,94%;1,67;6,29;14,45%;3.660.917
TAEE3;TAESA;10,87;102,94%;1,62;6,29;14,89%;2.190.539
TAEE11;TAESA;32,91;102,94%;1,63;6,29;14,75%;101.239.329
SYNE3;SYN PROP TEC;3,98;67,81%;0,23;0,78;218,92%;1.785.235
SUZB3;SUZANO S.A.;51,43;41,93%;2,5;6,52;0,00%;323.169.222
SULA4;SUL AMERICA;6,25;-3,34%;0,95;8,72;1,20%;73.963
SULA3;SUL AMERICA;6,08;-3,34%;0,93;8,72;1,23%;38.913
SULA11;SUL AMERICA;18,67;-3,34%;0,95;8,72;1,20%;73.612.359
STKF3;STATKRAFT;NA;33,03%;NA;NA;NA;0
STBP3;SANTOS BRP;6,92;28,52%;2,79;10,2;13,07%;36.897.653
SQIA3;SINQIA;13,75;10,31%;1,53;23,71;0,48%;13.215.557
SOND6;SONDOTECNICA;32,35;15,46%;1,37;2,96;20,51%;3.185
SOND5;SONDOTECNICA;31,21;15,46%;1,32;2,96;21,26%;2.776
SOND3;SONDOTECNICA;40,08;15,46%;1,7;2,96;0,00%;0
SOMA3;GRUPO SOMA;9,04;7,85%;0,96;21,7;1,00%;84.916.354
SOJA3;BOA SAFRA;9,6;8,08%;1,41;9,91;1,14%;2.675.836
SNSY6;SANSUY;11,51;-2,53%;-0,05;-7,16;0,00%;0
SNSY5;SANSUY;2,97;-2,53%;-0,01;-7,16;0,00%;13.981
SNSY3;SANSUY;4,5;-2,53%;-0,02;-7,16;0,00%;3.735
SMTO3;SAO MARTINHO;23,35;38,94%;1,52;6,4;3,12%;46.581.512
SMFT3;SMART FIT;12,15;2,24%;1,71;127,36;0,00%;20.688.303
SLED4;SARAIVA LIVR;2,78;290,32%;-0,07;0,45;0,00%;24.925
SLED3;SARAIVA LIVR;7,73;290,32%;-0,2;0,45;0,00%;2.851
SLCE3;SLC AGRICOLA;45,98;28,00%;1,92;4,96;5,28%;59.273.298
SIMH3;SIMPAR;5,99;23,00%;0,9;6,3;10,36%;30.288.199
SHUL4;SCHULZ;4,55;17,48%;1,56;15,89;3,28%;1.822.088
SHUL3;SCHULZ;27,88;17,48%;9,57;15,89;0,00%;0
SHOW3;TIME FOR FUN;2,1;7,59%;0,98;1,26;0,00%;820.610
SGPS3;SPRINGS;1,39;-7,26%;0,11;-8,3;0,00%;177.900
SEQL3;SEQUOIA LOG;3,11;4,44%;0,81;13,1;0,00%;17.317.848
SEER3;SER EDUCA;4,3;5,91%;0,41;10,77;0,00%;5.528.749
SCAR3;SAO CARLOS;18;47,10%;0,69;20,04;0,80%;108.842
SBSP3;SABESP;53,78;20,93%;1,34;11,75;1,75%;299.766.132
SBFG3;GRUPO SBF;10,66;6,61%;1,12;12,57;1,11%;31.624.358
SAPR4;SANEPAR;3,42;31,66%;0,61;4,95;6,92%;10.363.280
SAPR3;SANEPAR;3,23;31,66%;0,58;4,95;6,66%;1.847.255
SAPR11;SANEPAR;16,85;31,66%;0,61;4,95;6,89%;22.293.311
RSUL4;RIOSULENSE;70,66;24,64%;3,38;4,24;2,82%;127.862
RSUL3;RIOSULENSE;NA;24,64%;NA;4,24;NA;0
RSID3;ROSSI RESID;2,49;-1221,64%;-0,05;-2,37;0,00%;236.824
RRRP3;3R PETROLEUM;32,85;33,03%;1,53;12,67;0,00%;172.522.422
RPMG3;PET MANGUINH;1,6;-18,63%;-0,03;-0,12;0,00%;12.088
RPAD6;ALFA HOLDING;6,65;NA;0,53;9,38;0,01%;3.529
RPAD5;ALFA HOLDING;6,9;NA;0,55;9,38;8,18%;852
RPAD3;ALFA HOLDING;7,4;NA;0,58;9,38;0,01%;2.112
ROMI3;ROMI;13,31;14,74%;1,05;6,95;5,65%;10.729.158
RNEW4;RENOVA;1,85;294,00%;2,81;2,67;0,00%;168.713
RNEW3;RENOVA;1,93;294,00%;2,93;2,67;0,00%;80.086
RNEW11;RENOVA;5,74;294,00%;2,91;2,67;0,00%;70.546
RENT3;LOCALIZA;49,7;28,05%;2,41;17,66;2,17%;505.481.719
REDE3;REDE ENERGIA;5,4;22,36%;1,9;5,65;9,67%;8.116
RECV3;PETRORECSA;28,19;42,04%;2,25;6,73;0,58%;69.167.811
RDOR3;REDE D OR;24,93;17,63%;3,37;16,71;1,68%;167.469.852
RDNI3;RNI;6,6;5,81%;0,44;21,76;0,87%;137.261
RCSL4;RECRUSUL;0,63;0,66%;-0,61;81,75;0,00%;299.865
RCSL3;RECRUSUL;1,82;0,66%;-1,76;81,75;0,00%;456.995
RAPT4;RANDON PART;8,24;11,03%;0,7;4,5;8,80%;18.678.489
RAPT3;RANDON PART;7,55;11,03%;0,64;4,5;9,60%;83.749
RANI3;IRANI;8;33,21%;1,81;4,66;7,99%;10.080.187
RAIZ4;RAIZEN;3,26;1,90%;1,51;9,43;2,50%;54.810.559
RAIL3;RUMO S.A.;17,15;22,83%;2,08;20,14;0,00%;255.954.161
RADL3;RAIADROGASIL;21,9;6,04%;7,08;22,75;0,91%;177.853.083
QVQP3B;524 PARTICIP;NA;NA;NA;NA;NA;0
QUSW3;QUALITY SOFT;NA;12,62%;NA;NA;NA;0
QUAL3;QUALICORP;5,11;26,74%;1;5,55;5,00%;31.306.960
PTNT4;PETTENATI;6,2;11,14%;0,71;5,08;5,14%;237.705
PTNT3;PETTENATI;9,7;11,14%;1,1;5,08;3,29%;29.843
PTCA3;PRATICA;NA;10,29%;NA;NA;NA;0
PTCA11;PRATICA;NA;10,29%;NA;NA;NA;0
PTBL3;PORTOBELLO;7,47;15,57%;2,31;4,75;4,46%;14.012.114
PSVM11;PORTO VM;3,99;NA;1.374,61;2,33;0,00%;971
PSSA3;PORTO SEGURO;21,12;1,64%;1,37;8,76;5,49%;47.816.475
PRNR3;PRINER;5,8;12,32%;0,77;3,07;1,62%;1.232.738
PRMN3B;PROMAN;NA;60,62%;NA;NA;NA;0
PRIO3;PETRORIO;35,35;58,63%;3,38;7,4;0,00%;417.886.278
PPAR3;POLPAR;NA;NA;NA;NA;NA;0
POSI3;POSITIVO TEC;7,55;10,02%;0,8;4,33;4,51%;23.530.022
PORT3;WILSON SONS;9,85;24,29%;1,82;12,35;4,54%;3.555.295
POMO4;MARCOPOLO;2,3;3,25%;0,71;22,73;1,61%;14.807.078
POMO3;MARCOPOLO;1,89;3,25%;0,58;22,73;1,96%;279.414
PNVL3;DIMED;9,12;3,34%;1,26;16,6;2,07%;5.345.815
PMAM3;PARANAPANEMA;3,9;-17,79%;-0,1;-6,41;0,00%;669.519
PLPL3;PLANOEPLANO;3,4;9,53%;1,81;6,78;4,74%;3.220.806
PLAS3;PLASCAR PART;8,81;0,50%;-0,29;95,95;0,00%;6.668
PGMN3;PAGUE MENOS;3,61;5,90%;0,71;5,24;0,00%;4.040.426
